date,trips
2022-09-25,199225
2022-09-26,150881
2022-09-27,161728
2022-09-28,176915
2022-09-29,197939
2022-09-30,223005
2022-10-01,278737
2022-10-02,205085
2022-10-03,157212
2022-10-04,159518
2022-10-05,172465
2022-10-06,196491
2022-10-07,258934
2022-10-08,289106
2022-10-09,213480
2022-10-10,168834
2022-10-11,188189
2022-10-12,197158
2022-10-13,220925
2022-10-14,255104
2022-10-15,279251
2022-10-16,207907
2022-10-17,175478
2022-10-18,178689
2022-10-19,189880
2022-10-20,205960
2022-10-21,243289
2022-10-22,278049
2022-10-23,209989
2022-10-24,173562
2022-10-25,193024
2022-10-26,190922
2022-10-27,204884
2022-10-28,257322
2022-10-29,309674
2022-10-30,223795
2022-10-31,145809
2022-11-01,170117
2022-11-02,175447
2022-11-03,199485
2022-11-04,246318
2022-11-05,281277
2022-11-06,207855
2022-11-07,169622
2022-11-08,170064
2022-11-09,183833
2022-11-10,207349
2022-11-11,256474
2022-11-12,292428
2022-11-13,213990
2022-11-14,175983
2022-11-15,192232
2022-11-16,200974
2022-11-17,219291
2022-11-18,257741
2022-11-19,270769
2022-11-20,194417
2022-11-21,160942
2022-11-22,164476
2022-11-23,180106
2022-11-24,133197
2022-11-25,162302
2022-11-26,197055
2022-11-27,163672
2022-11-28,169158
2022-11-29,178202
2022-11-30,178834
2022-12-01,215642
2022-12-02,250248
2022-12-03,297099
2022-12-04,206244
2022-12-05,169074
2022-12-06,180419
2022-12-07,197848
2022-12-08,226653
2022-12-09,271198
2022-12-10,286098
2022-12-11,202833
2022-12-12,170167
2022-12-13,184394
2022-12-14,212028
2022-12-15,230382
2022-12-16,267828
2022-12-17,290668
2022-12-18,214029
2022-12-19,170274
2022-12-20,177586
2022-12-21,187665
2022-12-22,154784
2022-12-23,151791
2022-12-24,143512
2022-12-25,97753
2022-12-26,126439
2022-12-27,155747
2022-12-28,166318
2022-12-29,179685
2022-12-30,217663
2022-12-31,243890
2023-01-01,214296
2023-01-02,132685
2023-01-03,148397
2023-01-04,155057
2023-01-05,170869
2023-01-06,212249
2023-01-07,237176
2023-01-08,178312
2023-01-09,159115
2023-01-10,162789
2023-01-11,171112
2023-01-12,196131
2023-01-13,248241
2023-01-14,273314
2023-01-15,212130
2023-01-16,156565
2023-01-17,172212
2023-01-18,184650
2023-01-19,202488
2023-01-20,245767
2023-01-21,272924
2023-01-22,196544
2023-01-23,171460
2023-01-24,176299
2023-01-25,189844
2023-01-26,214808
2023-01-27,256851
2023-01-28,274108
2023-01-29,201231
2023-01-30,179993
2023-01-31,194080
2023-02-01,199439
2023-02-02,216280
2023-02-03,266431
2023-02-04,280027
2023-02-05,197340
2023-02-06,170293
2023-02-07,180852
2023-02-08,189148
2023-02-09,216280
2023-02-10,256258
2023-02-11,277544
2023-02-12,214005
2023-02-13,172307
2023-02-14,198089
2023-02-15,198810
2023-02-16,221605
2023-02-17,262208
2023-02-18,284010
2023-02-19,210086
2023-02-20,162273
2023-02-21,187351
2023-02-22,216723
2023-02-23,229801
2023-02-24,266395
2023-02-25,293442
2023-02-26,206515
2023-02-27,177161
2023-02-28,186540
2023-03-01,195576
2023-03-02,219624
2023-03-03,259137
2023-03-04,282490
2023-03-05,207879
2023-03-06,182180
2023-03-07,187694
2023-03-08,204609
2023-03-09,227848
2023-03-10,283086
2023-03-11,360118
2023-03-12,215720
2023-03-13,183037
2023-03-14,190610
2023-03-15,201714
2023-03-16,225551
2023-03-17,294816
2023-03-18,334043
2023-03-19,227177
2023-03-20,189451
2023-03-21,197110
2023-03-22,206463
2023-03-23,217440
2023-03-24,256323
2023-03-25,283431
2023-03-26,212078
2023-03-27,175984
2023-03-28,182620
2023-03-29,199918
2023-03-30,222924
2023-03-31,257907
2023-04-01,301214
2023-04-02,214547
2023-04-03,175508
2023-04-04,184805
2023-04-05,194525
2023-04-06,211521
2023-04-07,250072
2023-04-08,262880
2023-04-09,193816
2023-04-10,170805
2023-04-11,182707
2023-04-12,199545
2023-04-13,219822
2023-04-14,261853
2023-04-15,288440
2023-04-16,217550
2023-04-17,199985
2023-04-18,197758
2023-04-19,210059
2023-04-20,224114
2023-04-21,252548
2023-04-22,284667
2023-04-23,210308
2023-04-24,177435
2023-04-25,193538
2023-04-26,203194
2023-04-27,225383
2023-04-28,263982
2023-04-29,295894
2023-04-30,220508
2023-05-01,190879
2023-05-02,189837
2023-05-03,205104
2023-05-04,225318
2023-05-05,279944
2023-05-06,302647
2023-05-07,232030
2023-05-08,197422
2023-05-09,192406
2023-05-10,204951
2023-05-11,218986
2023-05-12,265206
2023-05-13,277847
2023-05-14,204447
2023-05-15,183898
2023-05-16,196777
2023-05-17,210976
2023-05-18,226110
2023-05-19,277949
2023-05-20,295100
2023-05-21,236506
2023-05-22,198441
2023-05-23,199499
2023-05-24,208204
2023-05-25,221332
2023-05-26,262894
2023-05-27,281848
2023-05-28,250043
2023-05-29,173728
2023-05-30,179874
2023-05-31,195503
2023-06-01,229998
2023-06-02,283952
2023-06-03,313184
2023-06-04,248867
2023-06-05,197008
2023-06-06,202580
2023-06-07,214063
2023-06-08,227861
2023-06-09,262609
2023-06-10,301934
2023-06-11,239154
2023-06-12,192848
2023-06-13,222234
2023-06-14,210735
2023-06-15,230942
2023-06-16,264923
2023-06-17,290776
2023-06-18,215945
2023-06-19,168369
2023-06-20,182779
2023-06-21,202353
2023-06-22,224590
2023-06-23,266427
2023-06-24,298609
2023-06-25,234318
2023-06-26,184633
2023-06-27,194258
2023-06-28,202019
2023-06-29,218119
2023-06-30,246876
2023-07-01,262861
2023-07-02,217790
2023-07-03,189640
2023-07-04,182324
2023-07-05,188358
2023-07-06,196725
2023-07-07,241304
2023-07-08,271146
2023-07-09,215431
2023-07-10,181356
2023-07-11,192928
2023-07-12,210287
2023-07-13,232273
2023-07-14,283111
2023-07-15,304113
2023-07-16,238640
2023-07-17,193529
2023-07-18,200005
2023-07-19,211817
2023-07-20,234801
2023-07-21,277516
2023-07-22,312376
2023-07-23,242961
2023-07-24,192321
2023-07-25,200411
2023-07-26,217584
2023-07-27,234837
2023-07-28,278108
2023-07-29,301697
2023-07-30,228300
2023-07-31,181460
2023-08-01,194032
2023-08-02,219089
2023-08-03,246893
2023-08-04,280303
2023-08-05,310266
2023-08-06,245257
2023-08-07,192792
2023-08-08,189224
2023-08-09,204566
2023-08-10,225822
2023-08-11,271188
2023-08-12,304910
2023-08-13,228576
2023-08-14,199579
2023-08-15,200272
2023-08-16,208582
2023-08-17,227561
2023-08-18,266844
2023-08-19,302846
2023-08-20,234198
2023-08-21,181800
2023-08-22,189822
2023-08-23,215703
2023-08-24,240691
2023-08-25,260008
2023-08-26,290310
2023-08-27,221223
2023-08-28,180355
2023-08-29,185289
2023-08-30,199026
2023-08-31,219812
2023-09-01,261847
2023-09-02,297066
2023-09-03,265187
2023-09-04,188809
2023-09-05,188181
2023-09-06,201996
2023-09-07,221702
2023-09-08,276035
2023-09-09,298406
2023-09-10,241998
2023-09-11,207566
2023-09-12,201364
2023-09-13,210261
2023-09-14,230167
2023-09-15,262211
2023-09-16,274000
2023-09-17,223469
2023-09-18,190012
2023-09-19,212232
2023-09-20,213476
2023-09-21,235358
2023-09-22,274435
2023-09-23,297537
2023-09-24,228841
2023-09-25,189093
2023-09-26,204465
2023-09-27,212269
2023-09-28,236618
2023-09-29,276414
2023-09-30,309621
2023-10-01,240534
2023-10-02,196894
2023-10-03,206498
2023-10-04,219841
2023-10-05,239800
2023-10-06,290108
2023-10-07,315932
2023-10-08,232058
2023-10-09,196285
2023-10-10,209168
2023-10-11,231288
2023-10-12,252057
2023-10-13,295159
2023-10-14,321034
2023-10-15,240729
2023-10-16,199098
2023-10-17,200530
2023-10-18,219381
2023-10-19,244477
2023-10-20,281888
2023-10-21,311115
2023-10-22,238189
2023-10-23,194491
2023-10-24,203509
2023-10-25,218844
2023-10-26,242935
2023-10-27,300472
2023-10-28,353720
2023-10-29,262170
2023-10-30,187078
2023-10-31,204133
2023-11-01,218807
2023-11-02,233070
