Category,Chain Name,2024 U.S. Sales ($000),Market_Share_in_Category_%,2024 U.S. Units
Varied Menu,110 Grill,0,0.0,0
Varied Menu,Culinary Dropout,0,0.0,0
Varied Menu,Bricktown Brewery,0,0.0,0
Varied Menu,Barcelona Wine Bar,0,0.0,0
Varied Menu,Iron Hill Brewery & Restaurant,0,0.0,0
Varied Menu,Burtons Grill & Bar,0,0.0,0
Varied Menu,Bad Daddy's Burger Bar,0,0.0,0
Varied Menu,Primanti Bros.,0,0.0,0
Varied Menu,Eureka! Restaurants,0,0.0,0
Varied Menu,Jim 'N Nick's Bar-B-Q,0,0.0,0
Varied Menu,Rusty Bucket Restaurant and Tavern,0,0.0,0
Varied Menu,Wood Ranch BBQ & Grill,0,0.0,0
Varied Menu,Hillstone,0,0.0,0
Varied Menu,Margaritaville Restaurants,0,0.0,0
Varied Menu,Tommy Bahama Restaurants,0,0.0,0
Varied Menu,Razzoo's Cajun Cafe,0,0.0,0
Varied Menu,Cotton Patch Cafe,0,0.0,0
Varied Menu,Rock & Brews,0,0.0,0
Varied Menu,Ted's Montana Grill,0,0.0,0
Varied Menu,Lucille's Smokehouse Bar-B-Que,0,0.0,0
Varied Menu,Houston's,0,0.0,0
Varied Menu,Bareburger,0,0.0,0
Varied Menu,Rainforest Cafe,0,0.0,0
Varied Menu,Johnny Rockets,0,0.0,0
Varied Menu,Marlow's Tavern,0,0.0,0
Varied Menu,Del Frisco's Grille,0,0.0,0
Varied Menu,Islands Fine Burgers & Drinks,0,0.0,0
Varied Menu,Hard Rock Cafe,0,0.0,0
Varied Menu,Grand Lux Cafe,0,0.0,0
Varied Menu,Houlihan's,0,0.0,0
Varied Menu,Mimi's Bistro & Bakery,0,0.0,0
